Freq,V(filterout)_mag_dB,V(filterout)_phase_deg,V(vin)_mag_dB,V(vin)_phase_deg
8.00000000000004e+01,1.23091769888865e+00,3.72158954643207e+00,-1.22178689020769e+01,4.02024984935745e+00
8.28211939073106e+01,1.23237639565389e+00,3.57455245899347e+00,-1.22164100172796e+01,3.88374499679316e+00
8.57418770029039e+01,1.23373782393070e+00,3.43175055130098e+00,-1.22150483874601e+01,3.75184674323165e+00
8.87655577654280e+01,1.23500843865327e+00,3.29301805512509e+00,-1.22137775567406e+01,3.62440241815724e+00
9.18958683997633e+01,1.23619426965259e+00,3.15819352495594e+00,-1.22125914942411e+01,3.50126413604536e+00
9.51365692002181e+01,1.23730094921460e+00,3.02711970000855e+00,-1.22114845665595e+01,3.38228867378835e+00
9.84915530675938e+01,1.23833373787419e+00,2.89964336332117e+00,-1.22104515119740e+01,3.26733734840178e+00
1.01964850185541e+02,1.23929754856642e+00,2.77561520559222e+00,-1.22094874162688e+01,3.15627589537119e+00
1.05560632861832e+02,1.24019696928342e+00,2.65488968255646e+00,-1.22085876900863e+01,3.04897434795260e+00
1.09283220540352e+02,1.24103628425657e+00,2.53732488063584e+00,-1.22077480477169e+01,2.94530691769872e+00
1.13137084989848e+02,1.24181949384614e+00,2.42278237776157e+00,-1.22069644872384e+01,2.84515187644485e+00
1.17126855675651e+02,1.24255033307832e+00,2.31112710575766e+00,-1.22062332719259e+01,2.74839143995472e+00
1.21257325320832e+02,1.24323228908624e+00,2.20222721795564e+00,-1.22055509128521e+01,2.65491165339654e+00
1.25533455663481e+02,1.24386861733194e+00,2.09595395234849e+00,-1.22049141526074e+01,2.56460227879192e+00
1.29960383416998e+02,1.24446235686331e+00,1.99218150075898e+00,-1.22043199500698e+01,2.47735668455630e+00
1.34543426440595e+02,1.24501634453794e+00,1.89078687716316e+00,-1.22037654661595e+01,2.39307173722792e+00
1.39288090127381e+02,1.24553322832749e+00,1.79164978606844e+00,-1.22032480505160e+01,2.31164769546288e+00
1.44200074017734e+02,1.24601547977190e+00,1.69465249654901e+00,-1.22027652290421e+01,2.23298810635681e+00
1.49285278645890e+02,1.24646540561536e+00,1.59967971530301e+00,-1.22023146922574e+01,2.15699970413839e+00
1.54549812627976e+02,1.24688515867099e+00,1.50661845889860e+00,-1.22018942844121e+01,2.08359231126650e+00
1.60000000000001e+02,1.24727674798320e+00,1.41535793253596e+00,-1.22015019933119e+01,2.01267874195094e+00
1.65642387814621e+02,1.24764204832875e+00,1.32578940599800e+00,-1.22011359408088e+01,1.94417470810613e+00
1.71483754005808e+02,1.24798280907840e+00,1.23780609220240e+00,-1.22007943739156e+01,1.87799872773792e+00
1.77531115530856e+02,1.24830066248561e+00,1.15130303115534e+00,-1.22004756565031e+01,1.81407203575595e+00
1.83791736799527e+02,1.24859713142821e+00,1.06617696655311e+00,-1.22001782615438e+01,1.75231849719656e+00
1.90273138400437e+02,1.24887363662362e+00,9.82326232768562e-01,-1.21999007638653e+01,1.69266452283547e+00
1.96983106135188e+02,1.24913150338912e+00,8.99650637673414e-01,-1.21996418333823e+01,1.63503898716421e+00
2.03929700371083e+02,1.24937196793209e+00,8.18051347269765e-01,-1.21994002287739e+01,1.57937314869964e+00
2.11121265723664e+02,1.24959618323375e+00,7.37430774141524e-01,-1.21991747915795e+01,1.52560057259231e+00
2.18566441080705e+02,1.24980522453383e+00,6.57692462648658e-01,-1.21989644406839e+01,1.47365705549584e+00
2.26274169979697e+02,1.25000009445815e+00,5.78740979340490e-01,-1.21987681671685e+01,1.42348055265736e+00
2.34253711351302e+02,1.25018172778961e+00,5.00481800056595e-01,-1.21985850295021e+01,1.37501110718623e+00
2.42514650641665e+02,1.25035099593173e+00,4.22821201600599e-01,-1.21984141490514e+01,1.32819078145696e+00
2.51066911326962e+02,1.25050871106247e+00,3.45666151218086e-01,-1.21982547058885e+01,1.28296359060048e+00
2.59920766833997e+02,1.25065563001030e+00,2.68924197908247e-01,-1.21981059348772e+01,1.23927543803719e+00
2.69086852881191e+02,1.25079245787207e+00,1.92503363826162e-01,-1.21979671220187e+01,1.19707405300399e+00
2.78576180254762e+02,1.25091985137885e+00,1.16312035938265e-01,-1.21978376010399e+01,1.15630893002739e+00
